Tree,Size,DupPct,InsertTime,SearchSuccessTime,SearchFailureTime,Height,Nodes
ABRNormal,500,0.1,0.0006245600001420826,0.0006021125002007466,0.000704175000100804,17.75,500
ABRFlag,500,0.1,0.0006826600000749749,0.0005921575000684242,0.0006671800002550299,17.375,450
ABRList,500,0.1,0.0007582474998343968,0.0006061075000616256,0.0006961375001992565,17.375,450
ABRNormal,500,0.5,0.0005833699998220254,0.0005341025001143862,0.0006723600000441366,18.475,500
ABRFlag,500,0.5,0.0005711000001610955,0.0005272724999485945,0.0006086374999540566,15.8,250
ABRList,500,0.5,0.0006270799997764697,0.000517764999949577,0.0005927974999394792,15.8,250
ABRNormal,500,0.8,0.0006238450000637386,0.00047680750012659703,0.0007631399999809219,20.65,500
ABRFlag,500,0.8,0.0004744800004118588,0.00042628250012057836,0.000493732500126498,12.675,99
ABRList,500,0.8,0.000482555000235152,0.0004368124998109124,0.0004957874999490741,12.675,99
ABRNormal,1000,0.1,0.0012959650000084367,0.001299472499977128,0.0014782100000047648,21.375,1000
ABRFlag,1000,0.1,0.0015189024999926915,0.001328054999885353,0.001471294999737438,20.9,900
ABRList,1000,0.1,0.0018579350000436535,0.0012705674999779148,0.001525220000075933,20.9,900
ABRNormal,1000,0.5,0.001271604999783449,0.0011738274996787369,0.0014480724997156357,20.775,1000
ABRFlag,1000,0.5,0.0012804424999558251,0.0011433299998316216,0.001298574999873381,17.925,500
ABRList,1000,0.5,0.0015245699996739859,0.0011011250003321038,0.0013419475000773673,17.925,500
ABRNormal,1000,0.8,0.0013193625001804322,0.0010696299998016912,0.0017018924999320007,23.225,1000
ABRFlag,1000,0.8,0.001140660000146454,0.000987082499796088,0.0011575525000807828,15.325,199
ABRList,1000,0.8,0.001153374999648804,0.001002974999937578,0.0011203125000065484,15.325,199
ABRNormal,2000,0.1,0.003454052499819227,0.002978880000046047,0.0038195300001461875,23.55,2000
ABRFlag,2000,0.1,0.0036582500003532912,0.0034281600000213076,0.0036447199999201985,23.25,1800
ABRList,2000,0.1,0.004327229999944393,0.0031536099997538257,0.003761534999921423,23.25,1800
ABRNormal,2000,0.5,0.0031811974999072846,0.0026785049997670287,0.0032331100000192237,23.35,2000
ABRFlag,2000,0.5,0.0028893900001094154,0.002537695000137319,0.0028481524999733666,20.7,1000
ABRList,2000,0.5,0.003263835000052495,0.002523814999676688,0.002933205000044836,20.7,1000
ABRNormal,2000,0.8,0.0032998950002365744,0.002401922500030196,0.003720722499747353,25.925,2000
ABRFlag,2000,0.8,0.002490787500391889,0.0022365049999280018,0.002686099999664293,17.875,399
ABRList,2000,0.8,0.0026081175002218514,0.0022116200000709798,0.00260288750005202,17.875,399
ABRNormal,3000,0.1,0.0052066274999560845,0.004934004999631725,0.005697669999972277,25.8,3000
ABRFlag,3000,0.1,0.006147784999575379,0.004917094999655092,0.005606824999813398,25.25,2700
ABRList,3000,0.1,0.0068501874999128635,0.0047616100001505405,0.005594467500031897,25.25,2700
ABRNormal,3000,0.5,0.004912659999627067,0.004333524999947258,0.005496922500151413,25.525,3000
ABRFlag,3000,0.5,0.0051131024999449435,0.004067899999790825,0.0046956475002843945,22.425,1500
ABRList,3000,0.5,0.005486652499894262,0.004121345000112342,0.004765982499793609,22.425,1500
ABRNormal,3000,0.8,0.005528052500085323,0.004315599999699771,0.006711589999849821,27.5,3000
ABRFlag,3000,0.8,0.004319917499924486,0.003838322499450442,0.004569227500087436,19.0,599
ABRList,3000,0.8,0.005075702499925683,0.00377176749998398,0.004492015000505489,19.0,599
ABRNormal,5000,0.1,0.01111083250007141,0.01004142750016399,0.011586642500242305,27.375,5000
ABRFlag,5000,0.1,0.012785687500036147,0.009994020000249293,0.011783382499470463,27.0,4500
ABRList,5000,0.1,0.01487815499995122,0.010099369999988995,0.011368244999812305,27.0,4500
ABRNormal,5000,0.5,0.009114499999850523,0.008200305000355002,0.010254347500267613,27.2,5000
ABRFlag,5000,0.5,0.009541277500193245,0.007767242500267457,0.009118125000259169,24.5,2500
